trackid	code	artist	title
TRAAAAW128F429D538	SOMZWCG12A8C13C480	Casual	I Didn't Mean To
TRAAABD128F429CF47	SOCIWDW12A8C13D406	The Box Tops	Soul Deep
TRAAADZ128F9348C2E	SOXVLOJ12AB0189215	Sonora Santanera	Amor De Cabaret
TRAAAEF128F4273421	SONHOTT12A8C13493C	Adam Ant	Something Girls
TRAAAFD128F92F423A	SOFSOCN12A8C143F5D	Gob	Face the Ashes
TRAAAMO128F1481E7F	SOYMRWW12A6D4FAB14	Jeff And Sheri Easter	The Moon And I (Ordinary Day Album Version)
TRAAAMQ128F1460CD3	SOMJBYD12A6D4F8557	Rated R	Keepin It Real (Skit)
TRAAAPK128E0786D96	SOHKNRJ12A6701D1F8	Tweeterfriendly Music	Drop of Rain
TRAAARJ128F9320760	SOIAZJW12AB01853F1	Planet P Project	Pink World
TRAAAVG12903CFA543	SOUDSGM12AC9618304	Clp	Insatiable (Instrumental Version)
TRAAAVO128F93133D4	SOQHXMF12AB0182363	JennyAnyKind	Young Boy Blues
TRAABCL128F4286650	SOKEJEJ12A8C13E0D0	Wayne Watson	The Urgency (LP Version)
TRAABDL12903CAABBA	SOMUYGI12AB0188633	Andy Andy	La Culpa
TRAABJL12903CDCF1A	SORAMLE12AB017C8B0	Bob Azzam	Auguri Cha Cha
TRAABJV128F1460C49	SOBONFF12A6D4F84D8	Lionel Richie	Tonight Will Be Alright
TRAABLR128F423B7E3	SOHUOAP12A8AE488E9	Blue Rodeo	Floating
TRAABNV128F425CEE1	SOUQQEA12A8C134B1B	Richard Souther	High Tide
TRAABRB128F9306DD5	SOILPQQ12AB017E82A	Faiz Ali Faiz	Sohna Nee Sohna Data
TRAABVM128F92CA9DC	SOXLBJT12A8C140925	Tesla	Caught In A Dream
TRAABXG128F9318EBD	SOZVMJI12AB01808AF	lextrical	Synthetic Dream
TRAABYN12903CFD305	SOWTBJW12AC468AC6E	Jimmy Wakely	Broken-Down Merry-Go-Round
TRAABYW128F4244559	SOBEBDG12A58A76D60	Alice Stuart	Kassie Jones
TRAACCG128F92E8A55	SOZCTXZ12AB0182364	Elena	Setanta matins
TRAACER128F4290F96	SOBBUGU12A8C13E95D	The Dillinger Escape Plan	Setting Fire to Sleeping Giants
TRAACFV128F935E50B	SOBLGCN12AB0183212	SUE THOMPSON	James (Hold The Ladder Steady)
TRAACHN128F1489601	SOPSWQW12A6D4F8781	Five Bolt Main	Made Like This (Live)
TRAACIW12903CC0F6D	SOZQDIU12A58A7BCF6	Clp	Superconfidential
TRAACLV128F427E123	SONYPOM12A8C13B2D7	Tim Wilson	I Think My Wife Is Running Around On Me (Taco Hell)
TRAACNS128F14A2DF5	SOBZBAZ12A6D4F8742	Willie Bobo	Spanish Grease
TRAACOW128F933E35F	SOVYKGO12AB0187199	Faye Adams	Crazy Mixed Up World
TRAACPE128F421C1B9	SOGNCJP12A58A80271	Terry Callier	Do You Finally Need A Friend
TRAACQT128F9331780	SOLLHMX12AB01846DC	John Wesley	The Emperor Falls
TRAACSL128F93462F4	SOYTPEP12AB0180E7B	The Shangri-Las	Twist and Shout
TRAACTB12903CAAF15	SOGXHEG12AB018653E	Billie Jo Spears	It Makes No Difference Now
TRAACVS128E078BE39	SOOLYAZ12A6701F4A6	Mike Jones (Featuring CJ_ Mello & Lil' Bran)	Laws Patrolling (Album Version)
TRAACZK128F4243829	SOGOSOV12AF72A285E	Sierra Maestra	¿Dónde va Chichi?
TRAADDS128F425C68B	SOJXVAH12A8C139700	Butthole Surfers	Barking Dogs (From "Piouhgd")
TRAADED128F42741FD	SOVXMTN12A8C135A18	Despina Vandi	OUTE ENA EFHARISTO
TRAADEV128F9348C0A	SORSECL12AB0182267	Javier Navarrete	Midnight Swim
TRAADHS12903CE70A9	SOOGFBZ12AC3DF7FF2	Jacob Young	In A Subtle Way
TRAADIV12903CB15C1	SOMSBGZ12AB018C4CB	Scarlet's Remains	Spin
TRAADLH12903CA70EE	SONYRZV12AB018AF70	The Suicide Machines	Burning In The Aftermath
TRAADLN128F14832E9	SONQBUB12A6D4F8ED0	The Rolling Stones	Angie (1993 Digital Remaster)
TRAADLR12903CF8D7E	SOHGKJW12AC468A8BD	Roberto Torres	Sabor Guajiro
TRAADLX128F1469250	SOINBCU12A6D4F94C0	Loudon Wainwright III	Human Cannonball
TRAADMH128F9343E59	SOTWVQT12A58A79650	R.L. Burnside	Glory Be
TRAADNA128F9331246	SOTSEJY12AB0180F56	Stevie Ray Vaughan	Crossfire
TRAADOF12903CAA1C1	SOTSETT12AB01863B8	John Hammond	I Can't Be Satisfied
TRAADQX128F422B4CF	SOTUNMH12A6D4FA3E6	Casiotone For The Painfully Alone	Nashville Parthenon
TRAADRN128F932D607	SOEPPKB12AB018418B	Ec8or	Cocain Ducks
TRAADVH128EF34DE7A	SOGKIWV12A6D4F86C4	The New York Dolls	Human Being
TRAADYB128F92D7E73	SOPHYIS12AAF3B35A3	Eliane Elias	The More I See You
TRAADYI128E078FB38	SOFHBAR12A6701D0FE	Lost Boyz	Certain Things We Do
TRAAEAM128F934B199	SOCPRKM12AB018A2FD	The Germs	Forming
TRAAEDJ12903CCE390	SOFGHAM12AB0186412	Yamandu Costa	Mafuá
TRAAEEH128E0795DFE	SODHVES12A6701CE6B	Chris Rea	Driving Home For Christmas
TRAAELO128F9302DD1	SOXIATP12AAF3B2184	Perrey And Kingsley	Spooks In Space
TRAAEMJ128F425A917	SOGNQWU12A8AE4868F	Eurythmics	Tous Les Garçons Et Les Filles
TRAAENC128F1451DE9	SOYQOFI12A6D4F76E1	Francis Dunnery	Too Much Saturn
TRAAENP128F147BF32	SOVOLGY12A6D4F822B	John Cale	Movement 4 [from Kiss] (Album Version)
TRAAEOU128F9309DE0	SOMZCVH12AB0182B8E	Suzanne Ciani	Stream
TRAAERU128F930674F	SONXJBL12AAF3B2C0C	Vickie Winans	Make Me Over
TRAAEUB12903CDD3EA	SOYWZTU12AB0180E26	The Berzerker	Deform (live)
TRAAEWG128F930B3A4	SOLGHDZ12AB0183B11	Kings Of Leon	Wicker Chair
TRAAEXM128F92D47C8	SOTNTNJ12AAA15FBD6	Edith Lefel	An ti chans'
TRAAFEB128F92F8694	SOXZXXV12AAF3B3A67	Taras	I Will Love Again (JJ's Club Radio)
TRAAFJW128F428A424	SOPIKEG12A58291636	NOFX	Stickin In My Eye
TRAAFKJ12903D02552	SOIRNBO12AC468D207	Murskahumppa	Ota kiinni
TRAAFMS128F933AB23	SOSBDSF12AB0189007	Soda Stereo	Entre Caníbales
TRAAFON128F42926FB	SOIJXXM12A8C1416D6	Bruce Rowland	Rosemary Recalls
TRAAFRU128F9339158	SOHMMMC12AB0181C42	Xcultures	Sudanese Dance
TRAAFSM128F425A2C5	SOVJXVJ12A8C13517D	White Heart	Where The Thunder Roars (Tales Of Wonder Album Version)
TRAAFUJ128F933F42B	SOFZCTA12AB0188D8F	Heavy D / McGruff	Wanna Be A Player
TRAAFYL128E07856A7	SOLRYQR12A670215BF	Van Halen	Panama (Remastered Album Version)
TRAAGCZ128F93210FD	SOCHRXB12A8AE48069	Black Eyed Peas	Let's Get It Started
TRAAGEC128E079252C	SOKBBXO12A6701DEA0	Nine Inch Nails	Metal
TRAAGGE128F9325E2C	SOWHYUG12A58A77FAB	Nick Cave & The Bad Seeds	She Fell Away (2009 Digital Remaster)
TRAAGHM128EF35CF8E	SOYSTDI12A6D4F6500	Nadine Renee	Next Time
TRAAGJV128F1464090	SOOOROX12A6D4F8400	Lesley Gore	It's My Party
TRAAGKF128F932D5A2	SONSPZE12AB01819CE	Smartbomb	Complicate It
TRAAGKQ128F92EAF39	SOHWGFU12AB017B036	Suburbs	Monde De Fou
TRAAGKS128F9314884	SOQQVQJ12AB0185192	Emperor	Opus a Satana (Part 2)
TRAAGMJ12903CAD7D4	SODRHHD12AB0189F2A	Julien Clerc	This Melody (Live)
TRAAGNL128F4299BF1	SOQGFVO12A8C13C8C3	Glen Campbell	I'm Gone This Time
TRAAGOH128F42593CE	SORABMD12A8C136672	T.G. Sheppard	You Feel Good All Over
TRAAGPF12903CE027E	SOTUBVH12AB018D2EC	Slim Whitman	Indian Love Call
TRAAGPH128F4273C8D	SOMQAGT12A8C132DB4	Savage Garden	You Can Still Be Free
TRAAGPJ128F428CD1B	SOKLLOH12A67020F2C	Queens Of The Stone Age	I Never Came
TRAAGUA128F93236E8	SONRLQH12AB017C232	Hank Penny & The Lincoln Penny Orchestra	Dixie
TRAAGVF128E0789785	SODDZAD12A6701DC4C	Inspiral Carpets	Commercial Reign
TRAAGVM128E0784D95	SORENXV12A6701F61F	Borialis	Hourglass
TRAAGXN128F92DE52C	SOYMMDY12AB01825B2	The Dirty Skirts	Wake
TRAAGZU128EF360F47	SOJWQIP12A6D4F710A	Flor Silvestre	Caricia Y Herida
TRAAHDH128F93094B6	SOOVOKS12AB017EE57	Bézu	Le tortillard
TRAAHEG128E07861C3	SORWHWY12A6702038E	Redman	WKYA (drop)
TRAAHEH128F427FCEF	SOGYYLE12A8C13E5EA	Solistiyhtye Suomi	Teräslintu
TRAAHEQ128F93057B4	SOITUXQ12AB0183AE9	Eddie Cantor	Now's The Time To Fall In Love
TRAAHER128F92E3FE9	SOTWEZZ12A8C142B60	Schizoid	Grim Prospects (Gross Prospects - Bad Trip Remix)
TRAAHJX128F9312B83	SOUVRGZ12A58A77F90	Kai Winding	Mangos
TRAAHKE128F421389B	SOBLTSM12A6D4F9EEA	Sonny Simmons	A Distant Voice
TRAAHMO128F92DE7C9	SOUQVUD12A8C142DCE	Mira	Openbare Weg
TRAAHPZ12903CB4643	SOCRPDR12AB0185B75	Citizen Kaned	President Johnson
TRAAHRF128F92FE234	SOXVBVL12AF72A600C	The Brooklyn Tabernacle Choir	Lead Me Lord
